id_cliente,ingreso_mensual_fijo,ingreso_mensual_variable,ingreso_mensual,gastos_esenciales_mensuales,gastos_no_esenciales_mensuales,gastos_totales_del_mes,cuotas_mensuales_deuda,ahorro_mensual,ahorro_total,ratio_ahorro_neto,ratio_endeudamiento_dti,gastos_esenciales_ratio,gastos_estilo_vida_ratio,meses_supervivencia,frecuencia_transacciones_ocio,perfil_financiero
1,1706738.96,165017.59,1871756.55,531441.18,644985.76,1176426.94,189992.5,505337.11,269288.9,0.27,0.1015,0.2839,0.3446,0.51,32,Saludable
2,1624441.2,0.0,1624441.2,941545.24,536926.53,1478471.77,600308.47,-454339.04,0.0,-0.2797,0.3695,0.5796,0.3305,0.0,27,En Riesgo
3,1048551.14,574327.84,1622878.98,571183.17,141350.06,712533.23,449738.97,460606.78,9469757.69,0.2838,0.2771,0.352,0.0871,16.58,24,En Observación
4,473360.44,377183.88,850544.32,579451.22,165561.86,745013.08,136455.61,-30924.37,0.0,-0.0364,0.1604,0.6813,0.1947,0.0,6,Saludable
5,1136277.7,0.0,1136277.7,739110.3,130741.97,869852.27,284667.42,-18241.99,0.0,-0.0161,0.2505,0.6505,0.1151,0.0,34,En Observación
6,1904078.96,227673.27,2131752.23,1585414.0,652315.98,2237729.98,538677.03,-644654.78,0.0,-0.3024,0.2527,0.7437,0.306,0.0,20,En Observación
7,1182562.53,547881.67,1730444.2,848450.69,583446.44,1431897.13,389150.41,-90603.34,0.0,-0.0524,0.2249,0.4903,0.3372,0.0,35,En Observación
8,1485750.04,0.0,1485750.04,604789.85,421081.13,1025870.98,80675.43,379203.63,11091163.41,0.2552,0.0543,0.4071,0.2834,18.34,9,Saludable
9,1680381.29,0.0,1680381.29,677691.02,126719.37,804410.39,726392.85,149578.05,1438434.97,0.089,0.4323,0.4033,0.0754,2.12,7,En Riesgo
10,1799762.81,0.0,1799762.81,558097.65,551419.82,1109517.47,744077.61,-53832.27,0.0,-0.0299,0.4134,0.3101,0.3064,0.0,32,En Riesgo
11,1976316.84,0.0,1976316.84,422628.43,593132.36,1015760.79,249510.8,711045.25,4789264.65,0.3598,0.1263,0.2138,0.3001,11.33,33,Saludable
12,2320685.69,0.0,2320685.69,1028443.02,219878.22,1248321.24,126354.64,946009.81,6649694.73,0.4076,0.0544,0.4432,0.0947,6.47,5,Saludable
13,488437.59,0.0,488437.59,93549.24,173024.55,266573.79,56109.35,165754.45,1716374.47,0.3394,0.1149,0.1915,0.3542,18.35,27,Saludable
14,2421598.39,0.0,2421598.39,1460609.15,789312.86,2249922.01,258971.41,-87295.03,0.0,-0.036,0.1069,0.6032,0.3259,0.0,15,Saludable
15,794334.14,352985.23,1147319.37,330506.96,158429.84,488936.8,409863.15,248519.42,2797730.85,0.2166,0.3572,0.2881,0.1381,8.46,15,En Observación
16,912649.98,0.0,912649.98,432176.6,309699.58,741876.18,120796.03,49977.77,281888.93,0.0548,0.1324,0.4735,0.3393,0.65,27,Saludable
17,1079454.65,0.0,1079454.65,721401.75,77362.87,798764.62,266546.46,14143.57,162378.79,0.0131,0.2469,0.6683,0.0717,0.23,12,En Observación
18,718459.6,0.0,718459.6,289631.89,115972.35,405604.24,295130.76,17724.6,121334.29,0.0247,0.4108,0.4031,0.1614,0.42,34,En Riesgo
19,2139260.69,0.0,2139260.69,1509933.39,833195.6,2343128.99,53367.42,-257235.72,0.0,-0.1202,0.0249,0.7058,0.3895,0.0,24,Saludable
20,883446.73,0.0,883446.73,373702.4,193654.17,567356.57,264427.45,51662.71,163249.99,0.0585,0.2993,0.423,0.2192,0.44,3,En Observación
21,1574196.64,0.0,1574196.64,942605.86,114705.58,1057311.44,137941.56,378943.64,4877088.36,0.2407,0.0876,0.5988,0.0729,5.17,11,Saludable
22,450746.93,517091.52,967838.45,379649.47,412917.1,792566.57,82703.06,92568.82,1771613.23,0.0956,0.0855,0.3923,0.4266,4.67,20,Saludable
23,2356353.77,429715.08,2786068.85,816907.63,580378.09,1397285.72,543282.21,845500.92,1573154.66,0.3035,0.195,0.2932,0.2083,1.93,36,Saludable
24,2491412.19,127892.59,2619304.78,809680.15,1108761.54,1918441.69,346087.76,354775.33,9937046.35,0.1354,0.1321,0.3091,0.4233,12.27,39,Saludable
25,2464477.28,0.0,2464477.28,1151808.98,781597.34,1933406.32,803164.83,-272093.87,0.0,-0.1104,0.3259,0.4674,0.3171,0.0,35,En Observación
26,641985.4,126377.79,768363.19,273328.43,249717.15,523045.58,278747.04,-33429.43,0.0,-0.0435,0.3628,0.3557,0.325,0.0,17,En Riesgo
27,396990.88,78491.8,475482.68,350848.58,54505.91,405354.49,31512.77,38615.42,1211185.37,0.0812,0.0663,0.7379,0.1146,3.45,9,Saludable
28,1500298.64,0.0,1500298.64,749407.78,163888.89,913296.67,294416.73,292585.24,10054307.54,0.195,0.1962,0.4995,0.1092,13.42,13,Saludable
29,1800546.71,0.0,1800546.71,652170.95,493265.91,1145436.86,877531.37,-222421.52,0.0,-0.1235,0.4874,0.3622,0.274,0.0,11,En Riesgo
30,2239115.65,441938.68,2681054.33,936522.52,1132279.9,2068802.42,322625.4,289626.51,3261560.91,0.108,0.1203,0.3493,0.4223,3.48,2,Saludable
31,2188905.15,489951.96,2678857.11,1141680.52,460967.95,1602648.47,319592.54,756616.1,9637939.77,0.2824,0.1193,0.4262,0.1721,8.44,17,Saludable
32,1072521.48,0.0,1072521.48,598156.89,415563.96,1013720.85,53274.8,5525.83,136886.11,0.0052,0.0497,0.5577,0.3875,0.23,2,Saludable
33,538485.6,0.0,538485.6,316159.45,94488.57,410648.02,122081.93,5755.65,49502.13,0.0107,0.2267,0.5871,0.1755,0.16,0,En Observación
34,1443824.77,0.0,1443824.77,811594.53,615221.31,1426815.84,588826.9,-571817.97,0.0,-0.396,0.4078,0.5621,0.4261,0.0,7,En Riesgo
35,1883459.38,185570.8,2069030.18,817340.88,436482.93,1253823.81,838188.09,-22981.72,0.0,-0.0111,0.4051,0.395,0.211,0.0,39,En Riesgo
36,1552031.56,0.0,1552031.56,1009185.4,266250.98,1275436.38,48931.52,227663.66,3287947.56,0.1467,0.0315,0.6502,0.1715,3.26,32,Saludable
37,1341009.61,0.0,1341009.61,841637.55,158073.6,999711.15,17056.74,324241.72,9324168.4,0.2418,0.0127,0.6276,0.1179,11.08,19,Saludable
38,794209.47,14655.23,808864.7,240156.4,194171.64,434328.04,130165.93,244370.73,1585165.62,0.3021,0.1609,0.2969,0.2401,6.6,31,Saludable
39,1179236.3,412573.45,1591809.75,1091338.23,627453.56,1718791.79,424636.04,-551618.08,0.0,-0.3465,0.2668,0.6856,0.3942,0.0,35,En Observación
40,848236.22,0.0,848236.22,359547.91,314328.05,673875.96,380741.92,-206381.66,0.0,-0.2433,0.4489,0.4239,0.3706,0.0,32,En Riesgo
41,1238829.67,0.0,1238829.67,517271.06,140809.3,658080.36,269458.42,311290.89,3107394.0,0.2513,0.2175,0.4175,0.1137,6.01,31,En Observación
42,1678846.56,46490.01,1725336.57,554586.82,273786.83,828373.65,82740.99,814221.93,19034691.0,0.4719,0.048,0.3214,0.1587,34.32,4,Saludable
43,1212709.37,279554.58,1492263.95,279589.72,571770.58,851360.3,87180.33,553723.32,14362156.38,0.3711,0.0584,0.1874,0.3832,51.37,30,Saludable
44,312971.38,452085.08,765056.46,506519.99,330024.04,836544.03,200542.22,-272029.79,0.0,-0.3556,0.2621,0.6621,0.4314,0.0,27,En Observación
45,1368412.39,401324.17,1769736.56,1112961.47,601130.93,1714092.4,223121.04,-167476.88,0.0,-0.0946,0.1261,0.6289,0.3397,0.0,1,Saludable
46,484684.42,0.0,484684.42,324792.27,59466.71,384258.98,18914.06,81511.38,1420785.64,0.1682,0.039,0.6701,0.1227,4.37,26,Saludable
47,854997.37,11629.97,866627.34,410479.28,389950.35,800429.63,214509.0,-148311.29,0.0,-0.1711,0.2475,0.4737,0.45,0.0,12,En Observación
48,2146303.46,0.0,2146303.46,629139.42,513877.47,1143016.89,36827.17,966459.4,10849299.97,0.4503,0.0172,0.2931,0.2394,17.24,7,Saludable
49,2011142.15,186623.35,2197765.5,1092752.83,926478.74,2019231.57,865538.82,-687004.89,0.0,-0.3126,0.3938,0.4972,0.4216,0.0,40,En Riesgo
50,834268.64,0.0,834268.64,276100.88,270055.78,546156.66,100804.01,187307.97,3216477.33,0.2245,0.1208,0.3309,0.3237,11.65,4,Saludable
51,1413113.74,509745.38,1922859.12,1237164.77,177317.51,1414482.28,471749.96,36626.88,551489.25,0.019,0.2453,0.6434,0.0922,0.45,17,En Observación
52,1655007.18,0.0,1655007.18,1017473.37,390498.13,1407971.5,204989.5,42046.18,779550.96,0.0254,0.1239,0.6148,0.2359,0.77,28,Saludable
53,836499.57,0.0,836499.57,431800.26,168634.73,600434.99,3601.13,232463.45,4048181.22,0.2779,0.0043,0.5162,0.2016,9.38,38,Saludable
54,1842604.25,6090.67,1848694.92,1328911.32,155743.65,1484654.97,412788.95,-48749.0,0.0,-0.0264,0.2233,0.7188,0.0842,0.0,1,En Observación
55,504717.37,415072.29,919789.66,306955.53,259953.01,566908.54,211218.92,141662.2,1573228.27,0.154,0.2296,0.3337,0.2826,5.13,17,En Observación
56,974570.58,432770.6,1407341.18,477551.35,488561.9,966113.25,356795.52,84432.41,698092.41,0.06,0.2535,0.3393,0.3472,1.46,33,En Observación
57,1612939.63,0.0,1612939.63,1047728.52,271778.05,1319506.57,87311.91,206121.15,117897.09,0.1278,0.0541,0.6496,0.1685,0.11,18,Saludable
58,1834318.26,521076.72,2355394.98,1047037.17,940009.62,1987046.79,202822.2,165525.99,351141.59,0.0703,0.0861,0.4445,0.3991,0.34,30,Saludable
59,550991.71,295047.94,846039.65,419815.61,274607.89,694423.5,19255.06,132361.09,948783.29,0.1564,0.0228,0.4962,0.3246,2.26,26,Saludable
60,1633898.83,0.0,1633898.83,466334.79,423227.2,889561.99,841525.98,-97189.14,0.0,-0.0595,0.515,0.2854,0.259,0.0,39,En Riesgo
61,2412239.31,457642.26,2869881.57,1507574.67,447295.29,1954869.96,34949.76,880061.85,11912944.04,0.3067,0.0122,0.5253,0.1559,7.9,30,Saludable
62,940770.44,424173.5,1364943.94,780464.76,316138.12,1096602.88,393904.61,-125563.55,0.0,-0.092,0.2886,0.5718,0.2316,0.0,27,En Observación
63,552507.87,89393.64,641901.51,198591.16,68615.75,267206.91,172603.65,202090.95,4659435.88,0.3148,0.2689,0.3094,0.1069,23.46,29,En Observación
64,1815091.58,0.0,1815091.58,1298889.96,454115.71,1753005.67,134442.53,-72356.62,0.0,-0.0399,0.0741,0.7156,0.2502,0.0,5,Saludable
65,803633.71,0.0,803633.71,535469.28,228914.4,764383.68,212733.14,-173483.11,0.0,-0.2159,0.2647,0.6663,0.2848,0.0,33,En Observación
66,1733320.88,0.0,1733320.88,448745.49,492491.67,941237.16,165042.84,627040.88,6795010.67,0.3618,0.0952,0.2589,0.2841,15.14,10,Saludable
67,1025568.06,0.0,1025568.06,331187.39,439022.52,770209.91,125155.1,130203.05,1777680.51,0.127,0.122,0.3229,0.4281,5.37,25,Saludable
